Title,ISBN
To Kill a Mockingbird,9780060935467
1984,9780451524935
Pride and Prejudice,9780141439518
The Great Gatsby,9780743273565
Jane Eyre,9780141441146
Wuthering Heights,9780141439556
The Catcher in the Rye,9780316769488
Lord of the Flies,9780399501487
Animal Farm,9780451526342
Brave New World,9780060850524
The Hobbit,9780618260300
Frankenstein,9780141439471
Great Expectations,9780141439563
The Odyssey,9780140268867
Dracula,9780141439846
The Picture of Dorian Gray,9780141439570
Moby-Dick,9780142437247
Little Women,9780147514011
The Count of Monte Cristo,9780140449266
Crime and Punishment,9780143107637
The Adventures of Huckleberry Finn,9780142437179
Alice's Adventures in Wonderland,9780141439761
Don Quixote,9780142437230
The Brothers Karamazov,9780140449242
War and Peace,9780143039990
Anna Karenina,9780143035008
The Scarlet Letter,9780142437261
Sense and Sensibility,9780141439662
The Adventures of Tom Sawyer,9780143039563
A Tale of Two Cities,9780141439600
