Ship Date,Forecast Qty,SO Quantity,Account Manager,Parent,Item,Item Description
2023-03-19T00:00:00,,,Vance Jensen,Walmart,1868,36 inch Griddle with Air Fryer
2023-03-24T00:00:00,,,Vance Jensen,Walmart,1868,36 inch Griddle with Air Fryer
2023-04-03T00:00:00,,,Vance Jensen,Walmart,5376,8 Piece Professional Griddle Cleaning Kit
2023-04-03T00:00:00,,,Vance Jensen,Walmart,5017,REAR GREASE CUP LINER
2023-04-01T00:00:00,8000.0,,Vance Jensen,Walmart,6961,Portable Pizza oven with burner base and 15in pizza stone.
2023-04-03T00:00:00,,,Vance Jensen,Walmart,5129,Scrubbing Replacement Pads - 5 pack
2023-09-25T00:00:00,,,Vance Jensen,Walmart,5376,8 Piece Professional Griddle Cleaning Kit
2023-09-27T00:00:00,,,Vance Jensen,Walmart,5232,3-in1 Griddle Cleaning Tool
2023-09-27T00:00:00,,,Vance Jensen,Walmart,5343,Griddle Scraper
2023-09-27T00:00:00,,,Vance Jensen,Walmart,5129,Scrubbing Replacement Pads - 5 pack
2023-09-27T00:00:00,,,Vance Jensen,Walmart,5357,5 Piece Original Griddle Kit
2023-09-27T00:00:00,,,Vance Jensen,Walmart,5394,6 Piece Deluxe Griddle Kit
2023-09-27T00:00:00,,,Vance Jensen,Walmart,5376,8 Piece Professional Griddle Cleaning Kit
2023-09-27T00:00:00,,,Vance Jensen,Walmart,5017,REAR GREASE CUP LINER
2023-09-27T00:00:00,,,Vance Jensen,Walmart,5242,Egg Ring Tray 6 Round Sections
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5343,Griddle Scraper
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5242,Egg Ring Tray 6 Round Sections
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5285,5285 Griddle Tool Holders
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5357,5 Piece Original Griddle Kit
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5376,8 Piece Professional Griddle Cleaning Kit
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5017,REAR GREASE CUP LINER
2024-01-01T00:00:00,5057.6639,,Vance Jensen,Walmart,5902,Infrared Thermometer
2024-10-01T00:00:00,2699.538,,Vance Jensen,Walmart,5902,Infrared Thermometer
2024-11-01T00:00:00,2386.0996999999998,,Vance Jensen,Walmart,5902,Infrared Thermometer
2024-12-01T00:00:00,3548.0485,,Vance Jensen,Walmart,5902,Infrared Thermometer
2024-02-01T00:00:00,4478.3258000000005,,Vance Jensen,Walmart,5902,Infrared Thermometer
2024-03-01T00:00:00,6401.4217,,Vance Jensen,Walmart,5902,Infrared Thermometer
2024-04-01T00:00:00,6540.5702,,Vance Jensen,Walmart,5902,Infrared Thermometer
2024-05-01T00:00:00,13828.071899999999,,Vance Jensen,Walmart,5902,Infrared Thermometer
2024-06-01T00:00:00,9746.1653,,Vance Jensen,Walmart,5902,Infrared Thermometer
2024-07-01T00:00:00,6067.1494,,Vance Jensen,Walmart,5902,Infrared Thermometer
2024-08-01T00:00:00,3190.1899000000003,,Vance Jensen,Walmart,5902,Infrared Thermometer
2024-09-01T00:00:00,1664.7151,,Vance Jensen,Walmart,5902,Infrared Thermometer
2024-01-01T00:00:00,7940.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2024-10-01T00:00:00,3485.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2024-11-01T00:00:00,3081.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2024-12-01T00:00:00,4581.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2024-02-01T00:00:00,5783.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2024-03-01T00:00:00,8267.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2024-04-01T00:00:00,8446.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2024-05-01T00:00:00,17855.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2024-06-01T00:00:00,12584.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2024-07-01T00:00:00,7835.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2024-08-01T00:00:00,4120.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2024-09-01T00:00:00,2149.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2024-01-01T00:00:00,8212.417099999999,,Vance Jensen,Walmart,5655,Pizza Cutter
2024-10-01T00:00:00,4353.7484,,Vance Jensen,Walmart,5655,Pizza Cutter
2024-11-01T00:00:00,3847.7017,,Vance Jensen,Walmart,5655,Pizza Cutter
2024-12-01T00:00:00,5721.219300000001,,Vance Jensen,Walmart,5655,Pizza Cutter
2024-02-01T00:00:00,7222.6303,,Vance Jensen,Walmart,5655,Pizza Cutter
2024-03-01T00:00:00,10324.0178,,Vance Jensen,Walmart,5655,Pizza Cutter
2024-04-01T00:00:00,10547.9244,,Vance Jensen,Walmart,5655,Pizza Cutter
2024-05-01T00:00:00,22299.3602,,Vance Jensen,Walmart,5655,Pizza Cutter
2024-06-01T00:00:00,15717.073400000001,,Vance Jensen,Walmart,5655,Pizza Cutter
2024-07-01T00:00:00,9784.2491,,Vance Jensen,Walmart,5655,Pizza Cutter
2024-08-01T00:00:00,5144.4745,,Vance Jensen,Walmart,5655,Pizza Cutter
2024-09-01T00:00:00,2684.767,,Vance Jensen,Walmart,5655,Pizza Cutter
2024-01-01T00:00:00,13812.829300000001,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2024-10-01T00:00:00,7350.643,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2024-11-01T00:00:00,6496.6876,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2024-12-01T00:00:00,9660.3541,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2024-02-01T00:00:00,12196.0706,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2024-03-01T00:00:00,17432.0337,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2024-04-01T00:00:00,17810.6058,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2024-05-01T00:00:00,37653.3444,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2024-06-01T00:00:00,26538.8258,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2024-07-01T00:00:00,16520.6842,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2024-08-01T00:00:00,8686.5326,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2024-09-01T00:00:00,4532.679,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2024-01-01T00:00:00,10511.7652,,Vance Jensen,Walmart,5364,Griddle Spatula
2024-10-01T00:00:00,5534.098599999999,,Vance Jensen,Walmart,5364,Griddle Spatula
2024-11-01T00:00:00,4891.4775,,Vance Jensen,Walmart,5364,Griddle Spatula
2024-12-01T00:00:00,7273.0478,,Vance Jensen,Walmart,5364,Griddle Spatula
2024-02-01T00:00:00,9182.075700000001,,Vance Jensen,Walmart,5364,Griddle Spatula
2024-03-01T00:00:00,13124.0226,,Vance Jensen,Walmart,5364,Griddle Spatula
2024-04-01T00:00:00,13408.266599999999,,Vance Jensen,Walmart,5364,Griddle Spatula
2024-05-01T00:00:00,28347.3085,,Vance Jensen,Walmart,5364,Griddle Spatula
2024-06-01T00:00:00,19979.4011,,Vance Jensen,Walmart,5364,Griddle Spatula
2024-07-01T00:00:00,12438.0705,,Vance Jensen,Walmart,5364,Griddle Spatula
2024-08-01T00:00:00,6540.1182,,Vance Jensen,Walmart,5364,Griddle Spatula
2024-09-01T00:00:00,3412.7816000000003,,Vance Jensen,Walmart,5364,Griddle Spatula
2024-01-01T00:00:00,10944.7652,,Vance Jensen,Walmart,5361,"14"" Tongs"
2024-10-01T00:00:00,5825.098599999999,,Vance Jensen,Walmart,5361,"14"" Tongs"
2024-11-01T00:00:00,5148.4775,,Vance Jensen,Walmart,5361,"14"" Tongs"
2024-12-01T00:00:00,7655.0478,,Vance Jensen,Walmart,5361,"14"" Tongs"
2024-02-01T00:00:00,9664.075700000001,,Vance Jensen,Walmart,5361,"14"" Tongs"
2024-03-01T00:00:00,13814.0226,,Vance Jensen,Walmart,5361,"14"" Tongs"
2024-04-01T00:00:00,14113.266599999999,,Vance Jensen,Walmart,5361,"14"" Tongs"
2024-05-01T00:00:00,29838.3085,,Vance Jensen,Walmart,5361,"14"" Tongs"
2024-06-01T00:00:00,21030.4011,,Vance Jensen,Walmart,5361,"14"" Tongs"
2024-07-01T00:00:00,13092.0705,,Vance Jensen,Walmart,5361,"14"" Tongs"
2024-08-01T00:00:00,6884.1182,,Vance Jensen,Walmart,5361,"14"" Tongs"
2024-09-01T00:00:00,3591.7816000000003,,Vance Jensen,Walmart,5361,"14"" Tongs"
2024-01-01T00:00:00,10511.7652,,Vance Jensen,Walmart,5335,Hamburger Spatula
2024-10-01T00:00:00,5534.098599999999,,Vance Jensen,Walmart,5335,Hamburger Spatula
2024-11-01T00:00:00,4891.4775,,Vance Jensen,Walmart,5335,Hamburger Spatula
2024-12-01T00:00:00,7273.0478,,Vance Jensen,Walmart,5335,Hamburger Spatula
2024-02-01T00:00:00,9182.075700000001,,Vance Jensen,Walmart,5335,Hamburger Spatula
2024-03-01T00:00:00,13124.0226,,Vance Jensen,Walmart,5335,Hamburger Spatula
2024-04-01T00:00:00,13408.266599999999,,Vance Jensen,Walmart,5335,Hamburger Spatula
2024-05-01T00:00:00,28347.3085,,Vance Jensen,Walmart,5335,Hamburger Spatula
2024-06-01T00:00:00,19979.4011,,Vance Jensen,Walmart,5335,Hamburger Spatula
2024-07-01T00:00:00,12438.0705,,Vance Jensen,Walmart,5335,Hamburger Spatula
2024-08-01T00:00:00,6540.1182,,Vance Jensen,Walmart,5335,Hamburger Spatula
2024-09-01T00:00:00,3412.7816000000003,,Vance Jensen,Walmart,5335,Hamburger Spatula
2024-01-01T00:00:00,15738.8097,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2024-10-01T00:00:00,8255.2405,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2024-11-01T00:00:00,7296.4547999999995,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2024-12-01T00:00:00,10848.6459,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2024-02-01T00:00:00,13695.585500000001,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2024-03-01T00:00:00,19576.3416,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2024-04-01T00:00:00,20000.576399999998,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2024-05-01T00:00:00,42284.062699999995,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2024-06-01T00:00:00,29802.5088,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2024-07-01T00:00:00,18553.1996,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2024-08-01T00:00:00,9754.6471,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2024-09-01T00:00:00,5089.5934,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2022-01-02T00:00:00,,5026,Vance Jensen,Walmart,1891,Adventure Ready 22in Griddle w/ Hood and Stand Bundle
2022-01-02T00:00:00,,,Vance Jensen,Walmart,1832,"17"" TABLETOP - BLACK FRONT"
2022-01-02T00:00:00,,,Vance Jensen,Walmart,5284,28 inch Griddle Cover ProSeries Jr.
2022-01-02T00:00:00,,,Vance Jensen,Walmart,5005,Pro Series 36in Griddle Cover
2022-01-02T00:00:00,,,Vance Jensen,Walmart,5075,Rangetop Cover
2023-01-01T00:00:00,10000.0,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-11-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-12-01T00:00:00,26160.0,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-02-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-03-01T00:00:00,14000.0,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-04-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-05-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-06-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-07-01T00:00:00,15000.0,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-08-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-09-01T00:00:00,3511.268,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-01-01T00:00:00,500.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-11-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-12-01T00:00:00,36656.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-02-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-03-01T00:00:00,500.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-04-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-05-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
